index,cost_taxi,cost_bus,,index,time_taxi,time_bus
0,222,39,,0,91.2,77.51666667
1,296,43,,1,115.1333333,110.9166667
2,174,39,,2,77.43333333,95.7
3,205,37,,3,92.66666667,68.01666667
4,248,40,,4,94.91666667,74.03333333
5,162,40,,5,71.46666667,146.2333333
6,189,41,,6,89.81666667,78.8
7,190,37,,7,89.96666667,58.95
8,176,9,,8,76.96666667,145.9666667
9,199,37,,9,91.91666667,59.83333333
10,181,37,,10,89.6,95.13333333
11,234,40,,11,94.45,75.65
12,174,40,,12,78.38333333,69.18333333
13,307,43,,13,115.2666667,148.4666667
14,251,42,,14,97.8,107.2166667
15,270,43,,15,108.2333333,115.1666667
16,228,41,,16,90,125.9833333
17,235,42,,17,93.38333333,93.65
18,270,40,,18,109.15,92.7
19,260,42,,19,94.91666667,116.8166667
20,282,43,,20,109.9833333,157.5666667
21,169,39,,21,77.93333333,72.21666667
22,180,40,,22,83.9,72.78333333
23,257,40,,23,111.4166667,94.4
24,305,44,,24,115.2666667,157.9166667
25,203,37,,25,93.6,86.13333333
26,162,40,,26,76.95,86.91666667
27,242,42,,27,99.36666667,117.0666667
28,176,40,,28,77.5,87.73333333
29,182,41,,29,89.48333333,90.28333333
30,185,39,,30,87,96.16666667
31,181,40,,31,88.11666667,80.18333333
32,248,42,,32,101.05,97.33333333
33,242,42,,33,93.1,85.46666667
34,251,42,,34,95.11666667,103.1333333
35,257,43,,35,101.3333333,99.25
36,259,42,,36,111.4,90.15
37,202,42,,37,88.91666667,89.08333333
38,209,41,,38,88.46666667,112.35
39,234,42,,39,94.78333333,87.51666667
40,300,43,,40,118.95,133.85
41,191,42,,41,74.46666667,113.25
42,307,43,,42,113.2,139.9333333
43,205,37,,43,92.6,75.83333333
44,224,41,,44,92.16666667,102.9
45,217,39,,45,94.68333333,78.05
46,244,40,,46,110.1,90.66666667
47,238,40,,47,117.0833333,73.5
48,246,42,,48,94.75,98.73333333
49,260,40,,49,114.5166667,84.98333333
50,180,10,,50,77.86666667,146.3833333
51,239,40,,51,107.6,82.38333333
52,271,40,,52,111.65,87.83333333
53,241,42,,53,91.3,102.1
54,209,40,,54,89.75,103.4833333
55,256,40,,55,93.96666667,97.01666667
56,189,43,,56,78.28333333,102.1333333
57,237,40,,57,95.4,89.1
58,210,42,,58,88.75,115.6833333
59,218,42,,59,88.76666667,104.3833333
60,169,40,,60,76.1,140.3333333
61,293,47,,61,120.85,141.9
62,233,42,,62,92.85,84.28333333
63,234,41,,63,96.3,80.3
64,217,40,,64,93.91666667,59.76666667
65,241,42,,65,91.55,125.55
66,244,42,,66,93.68333333,89.65
67,185,41,,67,87.66666667,82.76666667
68,260,43,,68,94,103.6333333
69,278,41,,69,109.45,104.1833333
70,189,42,,70,86.2,101.6333333
71,228,41,,71,93.93333333,91.6
72,299,41,,72,112.3,110.5666667
73,270,42,,73,93.25,124.5166667
74,245,42,,74,92.9,102.6166667
75,274,44,,75,109.35,116.4833333
76,266,42,,76,98.61666667,104.6833333
77,231,42,,77,91.75,126.7833333
78,249,42,,78,109.1666667,73.48333333
79,165,29,,79,73.3,111.5333333
80,219,40,,80,92.36666667,106.4
81,166,27,,81,70.53333333,81.58333333
82,286,43,,82,110.6333333,141.0666667
83,244,42,,83,92.91666667,103.4333333
84,276,43,,84,94.06666667,135.6166667
85,192,41,,85,72.3,98.3
86,212,39,,86,93.88333333,69.66666667
87,181,41,,87,77.4,96.35
88,266,40,,88,95.6,97.65
89,258,42,,89,94.31666667,94
90,226,40,,90,114.9166667,76.48333333
91,205,39,,91,87.63333333,75.28333333
92,189,37,,92,89.86666667,65.08333333
93,252,40,,93,112.4333333,81.35
94,241,40,,94,93.36666667,84.66666667
95,178,40,,95,77.41666667,82.35
96,266,43,,96,94.18333333,118.75
97,193,41,,97,80,98.43333333
98,204,38,,98,93.11666667,64.03333333
99,275,40,,99,120.25,91.91666667
,228.78,40.01,,,94.67533333,98.80466667
