N_FID,longitude,latitude,degree,R_FID
0,103.9905265,30.6738072,,1793
1,104.0095027,30.6721415,,3919
2,104.0202103,30.6884408,,1815
3,104.0205672,30.7068222,,2142
4,104.0213921,30.6700912,,1814
5,103.9865152,30.6473079,,2765
6,104.0083467,30.6518884,,2133
7,104.0217907,30.6517694,,3923
8,104.0408621,30.6515076,,3621
9,104.0400768,30.6661413,,2156
10,104.0301975,30.6818727,,1158
11,104.0131796,30.6360672,,4234
12,103.9986744,30.6294427,,2125
13,104.0242298,30.6428201,,325
14,104.0315078,30.6357856,,676
15,104.0460225,30.6251375,,2468
16,104.038777,30.6135614,,4422
17,104.0339467,30.6044481,,2790
18,104.013995,30.6172615,,3236
19,104.0212404,30.6251137,,4837
20,104.0429495,30.7033241,,1488
21,104.0387026,30.6891889,,5
22,104.0342714,30.715363,,677
23,104.0496229,30.6942611,,1175
24,104.044449,30.6820949,,1165
25,104.0521013,30.6848075,,695
26,104.0661021,30.6943622,,1502
27,104.0660783,30.6857248,,1501
28,104.0605104,30.6759452,,3270
29,104.0679581,30.6724474,,3634
30,104.060182,30.6714956,,3634
31,104.0653216,30.6690781,,3634
32,104.0731227,30.6943944,,4284
33,104.0730751,30.6857807,,2496
34,104.0747241,30.7233405,,715
35,104.081151,30.6943254,,2503
36,104.0893173,30.6918126,,1189
37,104.0786383,30.683989,,2496
38,104.0831117,30.682409,,3648
39,104.1051447,30.7186078,,1207
40,104.0947575,30.6766047,,3292
41,104.1018292,30.6855181,,4455
42,104.1082362,30.6938886,,4302
43,104.1357556,30.711912,,2320
44,104.1609015,30.6961556,,1707
45,104.137106,30.6725081,,4693
46,104.1022437,30.6619554,,3295
47,104.1134747,30.6623837,,744
48,104.1145947,30.6509337,,3304
49,104.1102878,30.6431767,,732
50,104.1069566,30.638394,,1541
51,104.0994629,30.6264427,,3291
52,104.1626558,30.6695165,,3817
53,104.1575162,30.6483869,,3127
54,104.1517642,30.6340483,,4612
55,104.1409053,30.6115438,,4692
56,104.126919,30.5999933,,336
57,104.0424124,30.5999297,,687
58,104.0675003,30.5980797,,3269
59,104.0664815,30.6333735,,3633
60,104.0760588,30.6337007,,3276
61,104.0668086,30.6200485,,2165
62,104.0768916,30.6202865,,2493
63,104.0777268,30.5980076,,714
64,104.0671739,30.608714,,2482
65,104.0519912,30.6343332,,2475
66,104.0536748,30.6086535,,1174
67,104.1005398,30.6573529,,1531
68,104.0958701,30.6497386,,4451
69,104.0932824,30.645515,,4450
70,104.0859388,30.6640401,,2179
71,104.0812096,30.6566043,,3285
72,104.0782056,30.6521726,,4439
73,104.0751321,30.648306,,4439
74,104.0659129,30.6524819,,1181
75,104.0637,30.6525057,,1181
76,104.068911,30.6524105,,1181
77,104.0709026,30.6584377,,3640
78,104.0709978,30.6556775,,4439
79,104.0676285,30.6583045,,2483
80,104.0606424,30.6580951,,2483
81,104.0638213,30.6582093,,2483
82,104.077348,30.6083245,,4282
83,104.0709823,30.6708916,,2495
84,104.0067766,30.7008463,,4225
85,104.0309697,30.6962768,,1160
86,104.1185835,30.6058461,,3302
87,104.1312668,30.6175364,,337
88,104.1394807,30.6366509,,3943
89,104.1393928,30.6487996,,1847
90,104.0806942,30.7115977,,3286
91,104.0740275,30.7145004,,3278
92,104.0999227,30.7071761,,3657
93,104.1028581,30.703315,,3662
94,104.036544,30.7120951,,677
95,104.0223632,30.7041076,,2142
96,104.0493248,30.6053918,,1174
97,104.0413793,30.6418485,,4
98,104.041447,30.6274413,,2468
99,104.0343347,30.6163259,,2147
100,104.0488336,30.5984426,,3626
101,104.0487493,30.6087968,,1174
102,104.0658523,30.6564314,,1181
103,104.0676646,30.6564057,,1181
104,104.0659117,30.6613885,,2483
105,104.065466,30.6670902,,3634
106,104.0603172,30.6668469,,3634
107,104.0705939,30.6671415,,2495
108,104.0749812,30.6461223,,3277
109,104.0900684,30.640799,,1188
110,104.0663474,30.6471909,,704
111,104.0614178,30.6476599,,704
112,104.0609273,30.6544829,,1181
113,104.0576399,30.6496966,,3262
114,104.0803483,30.7063353,,1521
115,104.0497114,30.7232977,,1176
116,104.0482132,30.7257156,,5144
117,104.0838659,30.7211715,,2504
118,103.9195638,30.6944668,,3061
119,103.9226782,30.6277597,,3060
120,103.9644534,30.6156427,,629
121,103.9929655,30.5941155,,1137
122,104.0300257,30.5916995,,674
123,104.0462717,30.585908,,3619
124,104.0696172,30.5403826,,2174
125,104.0756575,30.5608749,,712
126,104.1406153,30.5914453,,346
127,104.1648582,30.6060121,,3828
128,104.1609281,30.6324294,,4620
129,104.2026076,30.6490881,,1228
130,104.1881448,30.6725601,,3680
131,104.1888531,30.7311613,,4470
132,104.1415294,30.7187549,,2320
133,104.1079096,30.7256744,,50
134,104.1218023,30.7782256,,1837
135,104.0756311,30.7406204,,23
136,104.0473234,30.7361824,,688
137,104.0262825,30.726902,,5465
138,104.0076753,30.7246773,,5646
139,103.9913077,30.7195363,,4815
