line,lng,lat,type,id
202路,103.926865,30.739761,depot,0
259路,104.103368,30.547144,depot,1
243路,103.96161,30.664428,depot,2
150路,104.132192,30.711697,depot,3
214路,103.992743,30.733698,depot,4
260路,104.201332,30.65076,depot,5
239路,103.928993,30.695143,depot,6
266路,104.086663,30.716615,depot,7
259路,104.06947,30.547652,depot,8
162路,104.040668,30.626419,depot,9
160路,103.982448,30.598368,depot,10
203路,104.103272,30.547147,depot,11
247路,104.039171,30.601063,depot,12
201路,103.995,30.620885,depot,13
196路,104.12944,30.607819,depot,14
231路,103.972908,30.76897,depot,15
266路,104.112982,30.766159,depot,16
184路,104.08023,30.616567,depot,17
246路,104.079019,30.718129,depot,18
224路,103.980755,30.720161,depot,19
160路,104.001988,30.582374,O,20
160路,103.982448,30.598368,D,21
153路,104.042038,30.640364,O,22
153路,104.075615,30.591881,D,23
151路,104.040253,30.653238,O,24
151路,103.976888,30.600972,D,25
155路,104.016671,30.700421,O,26
155路,104.034918,30.736658,D,27
162路,104.040668,30.626419,O,28
162路,104.036862,30.548168,D,29
163路,103.983446,30.678381,O,30
163路,104.056819,30.662253,D,31
165路,103.990952,30.648165,O,32
165路,104.040903,30.654323,D,33
180路,104.084705,30.661914,O,34
180路,104.135462,30.67406,D,35
150路,104.132192,30.711697,O,36
150路,104.101897,30.710647,D,37
184路,104.034193,30.550503,O,38
184路,104.08023,30.616567,D,39
185路,104.093971,30.561298,O,40
185路,104.029744,30.553168,D,41
194路,104.030006,30.615915,O,42
194路,104.033157,30.645855,D,43
196路,104.12944,30.607819,O,44
196路,104.156636,30.604757,D,45
188路,104.08352,30.560473,O,46
188路,104.06362,30.60418,D,47
201路,103.952591,30.650673,O,48
201路,103.995,30.620885,D,49
202路,103.926865,30.739761,O,50
202路,103.920773,30.802873,D,51
203路,104.036862,30.548168,O,52
203路,104.103272,30.547147,D,53
204A路,104.220901,30.681702,O,54
204A路,104.188583,30.701481,D,55
204路,104.188606,30.702282,O,56
204路,104.188599,30.70154,D,57
205路,103.926865,30.739758,O,58
205路,103.923811,30.785226,D,59
206路,103.990056,30.732834,O,60
206路,103.979154,30.68395,D,61
207路,104.03569,30.631181,O,62
207路,104.0251,30.61681,D,63
212路,103.993138,30.710273,O,64
212路,104.025842,30.688286,D,65
214路,104.007843,30.663676,O,66
214路,103.992743,30.733698,D,67
224路,103.975282,30.685431,O,68
224路,103.980755,30.720161,D,69
231路,103.972908,30.76897,O,70
231路,103.957166,30.726137,D,71
232路,103.961129,30.664713,O,72
232路,103.949768,30.70418,D,73
237路,104.073898,30.636749,O,74
237路,104.150745,30.654353,D,75
238路,104.152426,30.58049,O,76
238路,104.055656,30.620604,D,77
222路,104.032817,30.619093,O,78
222路,104.021975,30.647131,D,79
239路,103.928993,30.695143,O,80
239路,103.961304,30.665193,D,81
241路,104.116645,30.523885,O,82
241路,104.104188,30.539653,D,83
242路,104.043529,30.63714,O,84
242路,103.966068,30.631146,D,85
246路,104.079019,30.718129,O,86
246路,104.077799,30.718251,D,87
243路,104.013664,30.648584,O,88
243路,103.96161,30.664428,D,89
247路,104.039171,30.601063,O,90
247路,104.078329,30.616545,D,91
256路,104.041102,30.652305,O,92
256路,104.063615,30.604232,D,93
259路,104.06947,30.547652,O,94
259路,104.103368,30.547144,D,95
260路,104.114392,30.650061,O,96
260路,104.201332,30.65076,D,97
264A路,104.156751,30.640469,O,98
264A路,104.15714,30.640464,D,99
266路,104.086663,30.716615,O,100
266路,104.112982,30.766159,D,101
249路,104.030608,30.620191,O,102
249路,104.021286,30.647856,D,103
297路,104.109345,30.664792,O,104
297路,104.132786,30.63697,D,105
